"date","value"
"2017-09-03",26
"2017-09-04",31
"2017-09-05",31
"2017-09-06",24
"2017-09-07",23
"2017-09-08",26
"2017-09-09",20
"2017-09-10",18
"2017-09-11",23
"2017-09-12",26
"2017-09-13",36
"2017-09-14",46
"2017-09-15",44
"2017-09-16",27
"2017-09-17",22
"2017-09-18",27
"2017-09-19",26
"2017-09-20",22
"2017-09-21",24
"2017-09-22",21
"2017-09-23",17
"2017-09-24",15
"2017-09-25",19
"2017-09-26",19
"2017-09-27",22
"2017-09-28",20
"2017-09-29",20
"2017-09-30",17
"2017-10-01",18
"2017-10-02",19
"2017-10-03",20
"2017-10-04",18
"2017-10-05",18
"2017-10-06",17
"2017-10-07",16
"2017-10-08",18
"2017-10-09",22
"2017-10-10",22
"2017-10-11",21
"2017-10-12",38
"2017-10-13",47
"2017-10-14",30
"2017-10-15",29
"2017-10-16",29
"2017-10-17",28
"2017-10-18",29
"2017-10-19",28
"2017-10-20",36
"2017-10-21",37
"2017-10-22",28
"2017-10-23",34
"2017-10-24",37
"2017-10-25",33
"2017-10-26",32
"2017-10-27",29
"2017-10-28",24
"2017-10-29",27
"2017-10-30",31
"2017-10-31",39
"2017-11-01",49
"2017-11-02",69
"2017-11-03",59
"2017-11-04",45
"2017-11-05",44
"2017-11-06",47
"2017-11-07",43
"2017-11-08",52
"2017-11-09",46
"2017-11-10",60
"2017-11-11",53
"2017-11-12",66
"2017-11-13",59
"2017-11-14",44
"2017-11-15",47
"2017-11-16",49
"2017-11-17",64
"2017-11-18",47
"2017-11-19",40
"2017-11-20",55
"2017-11-21",58
"2017-11-22",48
"2017-11-23",43
"2017-11-24",42
"2017-11-25",48
"2017-11-26",78
"2017-11-27",100
